overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,Aatf,Stt3b,,Gng11,,,Ncl,,,Ccdc47,Pir,Hacd4,Csf2rb2,,,,,,Camta2,Taf10,Lsm6,Cdkn1a,,,
,,Abca13,Surf4,,Gng12,,,Ndufa10,,,Ccdc82,Pitpna,Hat1,Ctsl,,,,,,Cap1,Tgfb1,Lta4h,Cebpa,,,
,,Abca2,Syncrip,,Gnl3,,,Ndufa12,,,Cd180,Pnn,Hck,Ctso,,,,,,Cask,Tmem176a,Lyar,Cebpb,,,
,,Abcc5,Sypl,,Gpatch4,,,Ndufa4,,,Cd300lf,Pnrc1,Hint1,Cxcr3,,,,,,Casp4,Tpt1,Magoh,Cebpg,,,
,,Abcd3,Tap2,,Gpi1,,,Ndufab1,,,Cd8b1,Polr2l,Hnrnpa3,Cxxc5,,,,,,Casp6,Trappc2l,Mat2a,Cfp,,,
,,Abcg1,Tfec,,Gpr56,,,Ndufb2,,,Cdc14b,Ppt1,Hnrnpab,Cybasc3,,,,,,Cast,Trem2,Mcee,Chmp2a,,,
,,Abcg2,Tgfb1,,Gpr97,,,Ndufb5,,,Cdk13,Prrc2c,Hnrnpdl,Cyfip1,,,,,,Ccdc124,Tsc22d3,Mcfd2,Chmp4b,,,
,,Abhd10,Tm9sf3,,Grpel1,,,Ndufc2,,,Cdkn2c,Psmg4,Hnrnpu,Cyp51,,,,,,Ccdc28b,Tspan17,Mcm5,Ckb,,,
,,Abhd16a,Tmed2,,Gstm1,,,Ndufs7,,,Cdyl,Ptp4a2,Hsp90ab1,Dad1,,,,,,Ccdc53,Txnip,Mcm6,Clec4a1,,,
,,Abhd4,Tmem165,,Gtf2i,,,Ndufv2,,,Cep192,Ptp4a3,Hspa8,Dap,,,,,,Ccdc72,Uba52,Mdh1,Clec4a3,,,
,,Abhd5,Tomm6,,Gtf3a,,,Nhp2,,,Cep57,Ptpn6,Idh2,Dcaf7,,,,,,Ccdc90a,Ubc,Med21,Clec7a,,,
,,Abhd8,Tomm70a,,Gusb,,,Nme1,,,Chst15,Ptprcap,Idh3g,Dclre1c,,,,,,Ccnd1,Ube2l3,Mfsd10,Clta,,,
,,Abt1,Txndc5,,Hadh,,,Nop10,,,Chuk,Qdpr,Ifi204,Dctn6,,,,,,Ccr1,Uqcrh,Mgl2,Cmpk1,,,
,,Acaa2,Uba5,,Hdac2,,,Nop56,,,Cic,Rab24,Ifitm2,Ddit4,,,,,,Ccz1,Use1,Mgst2,Cmtm3,,,
,,Acadl,Uba52,,Higd1a,,,Nop58,,,Clasp2,Rabac1,Ifitm3,Ddost,,,,,,Cd86,Vill,Mif,Cndp2,,,
,,Acadm,Uqcrq,,Hmgb3,,,Npm1,,,Clcn3,Rac2,Ifngr1,Ddr1,,,,,,Cdk5rap3,Was,Mlec,Cnpy3,,,
,,Acat1,Vapa,,Hmgn5,,,Npm3,,,Cltc,Rbck1,Il17ra,Dhcr7,,,,,,Cebpd,Xrn2,Morf4l2,Commd8,,,
,,Acat2,Xbp1,,Hprt,,,Nucb1,,,Cmtm3,Rbm25,Ilk,Dirc2,,,,,,Cfh,Ypel3,Mpc1,Comt,,,
,,Acbd6,Ywhaq,,Htra2,,,Nudc,,,Cnot1,Rcc2,Itm2b,Dnajb9,,,,,,Chmp5,Zfp36l2,Mpo,Coro1a,,,
,,Acot1,Zfp422,,Idh3a,,,Ostc,,,Cnot6l,Rn45s,Junb,Dnajc13,,,,,,Chuk,Zfp467,Mrpl17,Coro1b,,,
,,Acot2,,,Impa2,,,Oxct1,,,Cobll1,Rnf167,Lamp1,Dnajc3,,,,,,Cisd1,,Mrpl18,Cotl1,,,
,,Acp1,,,Impdh1,,,Pa2g4,,,Cox6a1,Rpl17,Laptm4a,Dnajc7,,,,,,Clcc1,,Mrpl19,Cox4i1,,,
,,Acp6,,,Kars,,,Paics,,,Cox6c,Rpl24,Larp7,Dntt,,,,,,Clcn4-2,,Mrpl34,Creg1,,,
,,Acpl2,,,Kcnk12,,,Park7,,,Cox7c,Rpl38,Lgals3,Dock10,,,,,,Clcn7,,Mrpl36,Crip1,,,
,,Acsl3,,,Kdelr2,,,Pcbp1,,,Cpne3,Rpl7,Lilrb4a,Dpm3,,,,,,Cldn25,,Mrpl40,Csf1r,,,
,,Actl6a,,,Kit,,,Pdia6,,,Crebbp,Rpl9,Lst1,Dtx2,,,,,,Clec4a2,,Mrpl41,Csf2ra,,,
,,Acy1,,,Lage3,,,Pebp1,,,Crtc1,Rps15a-ps4,Lyz2,Ech1,,,,,,Cln3,,Mrpl42,Cst3,,,
,,Acyp1,,,Lap3,,,Phb2,,,Crybg3,Rps27,Man2b1,Edem2,,,,,,Cln8,,Mrpl43,Cstb,,,
,,Ada,,,Lbp,,,Phgdh,,,Cstb,Rps3a,Mcl1,Eepd1,,,,,,Cltc,,Mrpl51,Ctage5,,,
,,Adap1,,,Ldha,,,Plac8,,,Ctage5,Rsrc2,Mcm5,Eid1,,,,,,Cmpk2,,Mrpl54,Ctsa,,,
,,Adi1,,,Lman1,,,Polr2e,,,Ctnna1,Scamp3,Mgst1,Eif3a,,,,,,Cnih4,,Mrpl57,Ctsb,,,
,,Adipor2,,,Lsm3,,,Polr2f,,,Ctnnd2,Sdf2,Mis18a,Elf1,,,,,,Cnnm4,,Mrps14,Ctsc,,,
,,Adk,,,Lsmd1,,,Ppia,,,Cyld,Sept6,Mrpl28,Eml4,,,,,,Copz1,,Mrps16,Ctsh,,,
,,Adpgk,,,Lta4h,,,Ppid,,,Cyp27a1,Sfrs18,Mrpl30,Epn1,,,,,,Coro1c,,Ms4a3,Ctss,,,
,,Adprhl2,,,Lyl1,,,Prmt1,,,D15Ertd621e,Sin3b,Mrpl33,Eps15,,,,,,Cox16,,Mydgf,Ctsz,,,
,,Adsl,,,Mapkapk3,,,Prtn3,,,D17Wsu92e,Slc50a1,Mrpl36,Epsti1,,,,,,Cox5b,,Naa10,Cx3cr1,,,
,,Aen,,,Mcfd2,,,Psma4,,,D5Ertd579e,Smad7,Mrpl42,Erbb2ip,,,,,,Cox6a1,,Naa38,Cyba,,,
,,Afap1l1,,,Mdh2,,,Psma5,,,Dak,Smap2,Ms4a4c,Ergic1,,,,,,Cpt1a,,Nars,Cybb,,,
,,Aga,,,Mfsd10,,,Psma6,,,Ddi2,Smarca2,Ms4a6b,Etnk1,,,,,,Crcp,,Ncl,Cyfip1,,,
,,Agap1,,,Mgat2,,,Psma7,,,Ddx17,Snhg8,Ms4a6c,Evi5,,,,,,Creb3,,Ndufa4,Cyp27a1,,,
,,Agpat2,,,Mki67ip,,,Psmb2,,,Ddx23,Snrpd2,Msn,F630111L10Rik,,,,,,Csf2rb,,Ndufab1,Cyp4f18,,,
,,Agtrap,,,Mlec,,,Psmb6,,,Dennd1b,Snw1,Msrb1,Fam108a,,,,,,Csgalnact2,,Ndufs8,Cyth4,,,
,,Ahsa2,,,Morf4l2,,,Psmb8,,,Dennd4b,Srrm2,Mtch2,Fam108b,,,,,,Ctbp2,,Ndufv2,Cytip,,,
,,Aig1,,,Mrfap1,,,Psmd7,,,Dgkd,Srsf5,Myo1f,Fam125a,,,,,,Ctdsp2,,Ndufv3,D4Wsu53e,,,
,,Aimp1,,,Mrp63,,,Psmg4,,,Dgke,Stx4a,Naa38,Fam168b,,,,,,Ctnna1,,Neu1,D8Ertd738e,,,
,,Aimp2,,,Mrpl11,,,Ptma,,,Dhcr24,Swi5,Nadk,Fam174a,,,,,,Cyb5,,Nhp2,Daxx,,,
,,Aip,,,Mrpl15,,,Ramp1,,,Dhx9,Syf2,Nap1l1,Fam3c,,,,,,Cyb5r1,,Nkg7,Dazap2,,,
,,Akr1b10,,,Mrpl17,,,Ran,,,Dicer1,Syk,Ncf2,Fam65b,,,,,,Cyp4f16,,Nme1,Degs1,,,
,,Akr1b3,,,Mrpl19,,,Ranbp1,,,Dmxl1,Sys1,Ndufa9,Fam69a,,,,,,D15Ertd621e,,Nop10,Diap1,,,
,,Akr1c13,,,Mrpl21,,,Rbbp7,,,Dnmt3a,Taf13,Ndufb11,Fbl,,,,,,D17H6S53E,,Nop58,Diap2,,,
,,Akr1e1,,,Mrpl23,,,Rbmxl1,,,Dock2,Taok3,Ndufb5,Fbxo6,,,,,,D17Wsu104e,,Npm1,Dleu2,,,
,,Akr7a5,,,Mrpl44,,,Rfc2,,,Dock8,Taz,Ndufb6,Fdps,,,,,,D17Wsu92e,,Npm3,Dnajc15,,,
,,Akt1s1,,,Mrpl51,,,Romo1,,,Dpy19l1,Tex261,Ndufb8,Fgd2,,,,,,D1Ertd622e,,Nucb1,Dock10,,,
,,Alad,,,Mrps10,,,Rpl10a,,,Dpysl2,Tex264,Ndufs2,Fgfr1op2,,,,,,Daglb,,Nucb2,Dock8,,,
,,Aldh2,,,Mrps15,,,Rpl11,,,Dst,Tgfb1,Nfam1,Fgr,,,,,,Dclre1b,,Nudc,Dr1,,,
,,Aldh7a1,,,Mrps18b,,,Rpl12,,,Dtx3l,Tigd2,Nop10,Filip1l,,,,,,Dclre1c,,Pa2g4,Dram2,,,
,,Aldoa,,,Mrps24,,,Rpl13,,,Dusp7,Tmbim6,Npm1,Flt3,,,,,,Dennd1a,,Pabpc1,Dusp1,,,
,,Alg3,,,Mrps28,,,Rpl14,,,Dync1h1,Tmed5,Nrros,Fmnl2,,,,,,Dennd5a,,Park7,Dusp22,,,
,,Alg5,,,Mrps33,,,Rpl15,,,Dynlt1b,Tmed7,Nsmce1,Fndc3a,,,,,,Derl1,,Pcbp1,Dusp3,,,
,,Alg8,,,Mrps34,,,Rpl17,,,E030024N20Rik,Tmem106c,Nusap1,Fth1,,,,,,Derl2,,Pdcd5,Efhd2,,,
,,Alkbh6,,,Mrps5,,,Rpl18,,,Edem3,Tmem123,Oxct1,Fxc1,,,,,,Dgkg,,Pebp1,Ehbp1l1,,,
,,Alox5,,,Ms4a3,,,Rpl18a,,,Eif2c4,Tmem59,Pabpc1,Fyb,,,,,,Dhrs1,,Pgp,Ehd4,,,
,,Alyref,,,Msi2,,,Rpl19,,,Eif4enif1,Tmem66,Pclaf,Fyn,,,,,,Dhrs3,,Phb2,Eif2ak2,,,
,,Amdhd2,,,Mt1,,,Rpl21,,,Eif4g1,Tomm20,Pdlim1,Gadd45b,,,,,,Dhx38,,Phgdh,Eif4e2,,,
,,Amz2,,,Mtch2,,,Rpl22,,,Eif4g2,Tor2a,Pim1,Galk1,,,,,,Dhx58,,Plscr3,Eif4e3,,,
,,Anapc11,,,Muc13,,,Rpl22l1,,,Eif4g3,Traf4,Plbd1,Gapt,,,,,,Dna2,,Polr2f,Eif4ebp1,,,
,,Anapc13,,,Myc,,,Rpl23,,,Entpd1,Trp53i11,Plin2,Gas7,,,,,,Dnajb14,,Polr2g,Elmo2,,,
,,Angpt1,,,Nans,,,Rpl23a,,,Ep400,Tspan3,Pmf1,Glcci1,,,,,,Dnajc10,,Ppia,Emb,,,
,,Ankmy2,,,Ncln,,,Rpl24,,,Epcam,Ttc3,Pnp,Glt25d1,,,,,,Dnajc19,,Prss57,Emilin2,,,
,,Ankrd49,,,Ndufa5,,,Rpl27,,,Epha2,Txn2,Ppib,Gm14207,,,,,,Dnase1l1,,Prtn3,Emp3,,,
,,Ankrd54,,,Ndufaf2,,,Rpl27a,,,Ero1lb,Ubap2l,Prdx1,Gm4902,,,,,,Dock5,,Psma6,Emr1,,,
,,Anks1,,,Ndufaf4,,,Rpl28,,,Etv6,Ubl7,Prdx4,Gm5547,,,,,,Dohh,,Psmb2,Epsti1,,,
,,Anln,,,Ndufb8,,,Rpl29,,,Fads2,Uchl3,Psma4,Gm5617,,,,,,Dpy19l1,,Psmb5,Erp29,,,
,,Anp32b,,,Ndufc1,,,Rpl3,,,Fads3,Uqcrh,Psma7,Gna11,,,,,,Dpysl2,,Psmc5,Esd,,,
,,Anxa1,,,Ngfrap1,,,Rpl31,,,Fam116a,Yif1a,Psmb1,Gna15,,,,,,Dse,,Psmd6,Ethe1,,,
,,Anxa4,,,Nhp2l1,,,Rpl32,,,Fam117a,Zfp608,Psmb2,Gnaq,,,,,,Dtx3l,,Psmd7,Etohi1,,,
,,Ap2a2,,,Nkg7,,,Rpl35,,,Fam120b,,Psmb4,Gnas,,,,,,Dusp7,,Ptbp1,Evi2a,,,
,,Ap4s1,,,Nme2,,,Rpl35a,,,Fam178a,,Psmb6,Gne,,,,,,Dync1h1,,Ptgr1,Evi2b,,,
,,Apip,,,Nme4,,,Rpl36,,,Fbrs,,Psmd8,Gng10,,,,,,Ear2,,Ptma,F10,,,
,,Apitd1,,,Nob1,,,Rpl36a,,,Fbxw7,,Ptbp1,Gng2,,,,,,Ebp,,Ptpn7,F13a1,,,
,,Apoa1bp,,,Nolc1,,,Rpl36al,,,Fdft1,,Ptma,Gnptab,,,,,,Ece1,,Rab44,Fabp5,,,
,,Apoo,,,Npm3-ps1,,,Rpl37,,,Fes,,Ptpn18,Gns,,,,,,Echs1,,Rack1,Faim,,,
,,Apool,,,Nt5dc2,,,Rpl37a,,,Fgfr1op,,Ptprc,Gpcpd1,,,,,,Edem1,,Ramp1,Fam105a,,,
,,Aprt,,,Nudcd2,,,Rpl38,,,Fkbp15,,Rab14,Gpr146,,,,,,Elf4,,Ran,Fam111a,,,
,,Arglu1,,,Pam16,,,Rpl39,,,Flnb,,Rac1,Gpr171,,,,,,Elovl1,,Ranbp1,Fam129a,,,
,,Arhgdib,,,Pdcd5,,,Rpl4,,,Fndc3b,,Racgap1,Grcc10,,,,,,Enoph1,,Rasgrp2,Fam174a,,,
,,Arl11,,,Pdrg1,,,Rpl41,,,Fosb,,Rack1,Gria3,,,,,,Eps8,,Rbbp7,Fam46a,,,
,,Arl2,,,Pfdn1,,,Rpl5,,,Foxr1,,Raly,Gsn,,,,,,Erlin1,,Rgcc,Fam49a,,,
,,Arl3,,,Pfkl,,,Rpl6,,,Foxred2,,Ran,Gtf2i,,,,,,Esyt1,,Rnaset2a,Fam49b,,,
,,Arl4a,,,Pgam1,,,Rpl7,,,Frmd4a,,Ranbp1,H2-Aa,,,,,,Evi5,,Rnaset2b,Fam69a,,,
,,Armc10,,,Phb,,,Rpl7a,,,Fryl,,Rap1b,H2-DMb1,,,,,,Ext1,,Rnf7,Fam89b,,,
,,Arpp19,,,Phpt1,,,Rpl8,,,Fuca2,,Rgs2,H2-M3,,,,,,Fam102b,,Romo1,Fam96a,,,
,,Arrdc1,,,Plscr3,,,Rpl9,,,Fyco1,,Rheb,H2-Oa,,,,,,Fam120a,,Rpa2,Fbxw4,,,
,,Arsb,,,Poldip2,,,Rplp0,,,Galnt1,,Rnaseh2b,H2-T23,,,,,,Fam125a,,Rpia,Fcer1g,,,
,,As3mt,,,Polr2h,,,Rplp1,,,Galnt12,,Rnh1,H47,,,,,,Fam129b,,Rpl10a,Fcgr1,,,
,,Ascc1,,,Polr2l,,,Rplp2,,,Galnt2,,Rnpep,Havcr1,,,,,,Fam168a,,Rpl11,Fcgr2b,,,
,,Asf1b,,,Ppa1,,,Rps11,,,Ganab,,Rpl12,Herpud1,,,,,,Fam188a,,Rpl12,Fcgr3,,,
,,Ash2l,,,Ppan,,,Rps12,,,Gba,,Rpl15,Hes6,,,,,,Fam195b,,Rpl14,Fcgrt,,,
,,Asl,,,Ppapdc1b,,,Rps13,,,Gbp4,,Rpl22,Hhex,,,,,,Fam38a,,Rpl15,Fes,,,
,,Asns,,,Ppib,,,Rps14,,,Gbp8,,Rpl22l1,Hif1a,,,,,,Fam55d,,Rpl17,Fgl2,,,
,,Asrgl1,,,Ppif,,,Rps15,,,Gcfc1,,Rpl23,Hivep1,,,,,,Fbxo28,,Rpl21,Fgr,,,
,,Ass1,,,Ppp1r14b,,,Rps16,,,Gigyf1,,Rpl23a,Hmgcs1,,,,,,Fbxo4,,Rpl22l1,Flna,,,
,,Atp2b4,,,Prdx6,,,Rps17,,,Gls,,Rpl26,Hmgn3,,,,,,Fbxo6,,Rpl23,Fmnl1,,,
,,Atp5f1,,,Prss57,,,Rps18,,,Gm10548,,Rpl28,Hnrnpl,,,,,,Fcho2,,Rpl23a,Fn1,,,
,,Atp5j,,,Psma3,,,Rps19,,,Gm12253,,Rpl30,Hoxa7,,,,,,Fdps,,Rpl26,Fos,,,
,,Atpaf1,,,Psmb5,,,Rps2,,,Gm13157,,Rpl32,Hpse,,,,,,Fgd2,,Rpl28,Fosb,,,
,,Atxn1,,,Psmg1,,,Rps20,,,Gmfb,,Rpl36a,Hs3st1,,,,,,Fgd4,,Rpl29,Ftl1,,,
,,Atxn10,,,Ptges3,,,Rps23,,,Gnb4,,Rpl41,Hspa5,,,,,,Fkbp15,,Rpl3,Fuca1,,,
,,Aurkaip1,,,Ptov1,,,Rps24,,,Gng12,,Rplp0,Hspe1,,,,,,Fnbp1,,Rpl30,Fxyd5,,,
,,Aven,,,Ptpla,,,Rps25,,,Golga2,,Rplp2,Idi1,,,,,,Fndc3a,,Rpl31,Fyb,,,
,,B230120H23Rik,,,Ptpn7,,,Rps26,,,Golga4,,Rpn2,Ier5,,,,,,Fosl2,,Rpl34,Galnt9,,,
,,B3galt6,,,Pycrl,,,Rps27a,,,Golm1,,Rps10,Ifnar1,,,,,,Foxn2,,Rpl36,Gbp3,,,
,,B9d2,,,Rab38,,,Rps27l,,,Gpr132,,Rps12,Ifnar2,,,,,,Frrs1,,Rpl36a,Ggh,,,
,,BC003266,,,Rangrf,,,Rps28,,,Gpr137b,,Rps15,Igsf8,,,,,,Fry,,Rpl39,Glipr1,,,
,,BC003965,,,Rdx,,,Rps29,,,Gpr137b-ps,,Rps16-ps2,Ikzf1,,,,,,Fuca2,,Rpl4,Gltp,,,
,,BC017158,,,Rexo2,,,Rps3,,,Gpr35,,Rps17,Il10rb,,,,,,Furin,,Rpl41,Glud1,,,
,,BC026585,,,Rfc5,,,Rps4x,,,Grm8,,Rps19,Il21r,,,,,,G6pdx,,Rpl5,Gm11428,,,
,,BC028528,,,Rnaset2b,,,Rps5,,,H2-T24,,Rps2,Il7r,,,,,,Gab2,,Rpl6,Gm13476,,,
,,BC029722,,,Rpa3,,,Rps6,,,Haao,,Rps21,Inpp4a,,,,,,Galnt10,,Rpl8,Gm15987,,,
,,BC056474,,,Rpl7l1,,,Rps7,,,Hdac5,,Rps27a,Insig1,,,,,,Gapt,,Rpl9,Gm16517,,,
,,Bad,,,Rps3a,,,Rps8,,,Hdlbp,,Rps27l,Iqgap2,,,,,,Gas7,,Rplp1,Gm2a,,,
,,Bag2,,,Rrp1,,,Rps9,,,Herc1,,Rps29,Irak1,,,,,,Gatc,,Rpn2,Gm4902,,,
,,Basp1,,,Rrp15,,,Rpsa,,,Herc2,,Rps3a1,Irf1,,,,,,Gba,,Rps10,Gm885,,,
,,Batf,,,Rrs1,,,Rsl1d1,,,Hivep3,,Rps7,Irf2bp2,,,,,,Gch1,,Rps12,Gm9733,,,
,,Bbx,,,Rsl24d1,,,Ruvbl2,,,Hmgcr,,Rpsa,Irf9,,,,,,Gcnt1,,Rps13,Gnai2,,,
,,Bcap31,,,Ruvbl1,,,Samm50,,,Hnrnpul2,,S100a10,Itgal,,,,,,Gda,,Rps15,Gnb2,,,
,,Bcat2,,,S100a1,,,Sdhc,,,Hps5,,S100a4,Itgb1,,,,,,Gga1,,Rps15a,Gng10,,,
,,Bccip,,,Sdhd,,,Serbp1,,,Hs6st1,,Samhd1,Itm2c,,,,,,Glipr2,,Rps16,Gng2,,,
,,Bckdk,,,Sep15,,,Set,,,Hsd17b11,,Samm50,Itpr1,,,,,,Gm14005,,Rps17,Gngt2,,,
,,Bcl2l12,,,Serf1,,,Sfxn1,,,Hsdl2,,Sat1,Ivns1abp,,,,,,Gm5506,,Rps18,Gnpda1,,,
,,Bcl7c,,,Serpinb1a,,,Siva1,,,Huwe1,,Sdhc,Jak2,,,,,,Gm5617,,Rps19,Gpr141,,,
,,Bcs1l,,,Sf3b5,,,Skp1a,,,Hyou1,,Selenoh,Jmjd1c,,,,,,Gmppa,,Rps2,Gpr35,,,
,,Birc5,,,Shmt2,,,Slc25a3,,,I830077J02Rik,,Selenop,Jtb,,,,,,Gns,,Rps20,Gpr65,,,
,,Blvra,,,Sirt3,,,Slc25a4,,,Iffo1,,Selenow,Jun,,,,,,Gpr108,,Rps21,Grn,,,
,,Bmyc,,,Snhg4,,,Slc25a5,,,Ift20,,Sf3b5,Kctd12,,,,,,Gpx3,,Rps24,Gyg,,,
,,Bod1,,,Snhg6,,,Snrpa1,,,Ift57,,Sh3bgrl,Kdm4a,,,,,,Gsdmd,,Rps26,H2-DMa,,,
,,Bola3,,,Snrpa,,,Snrpb,,,Ik,,Sh3glb1,Khk,,,,,,Gsn,,Rps3,H2-DMb1,,,
,,Bop1,,,Sord,,,Snrpd1,,,Ikbip,,Shisa5,Klk1,,,,,,Gsr,,Rps3a1,H2-T23,,,
,,Bre,,,Spcs1,,,Snrpd2,,,Il10ra,,Sirt7,Klk1b27,,,,,,Gusb,,Rps4x,H2afj,,,
,,Brix1,,,Spint2,,,Snrpd3,,,Il17rb,,Slc25a3,Klra17,,,,,,H13,,Rps6,Hck,,,
,,Brms1,,,Srpk1,,,Snrpe,,,Il6ra,,Slc25a5,Klrd1,,,,,,H1f0,,Rps7,Hexa,,,
,,Brp44l,,,Ssbp1,,,Snrpf,,,Impact,,Slfn1,Kmo,,,,,,H2-Aa,,Rps8,Hexb,,,
,,Bscl2,,,Ssr1,,,Snrpg,,,Inf2,,Slfn2,Kynu,,,,,,H2-Eb1,,Rpsa,Hgsnat,,,
,,Bsg,,,St13,,,Srm,,,Inpp5d,,Slirp,Lag3,,,,,,H2-T24,,Ruvbl2,Hint1,,,
,,Btbd9,,,Stk16,,,Srp19,,,Inpp5f,,Smdt1,Lair1,,,,,,H2afz,,Sdhc,Hk2,,,
,,Btf3l4,,,Stoml2,,,Srsf2,,,Ipo9,,Smpdl3a,Lat2,,,,,,H47,,Sec11a,Hmox1,,,
,,Bub3,,,Stra13,,,Srsf6,,,Itga4,,Snrpb,Ldhb,,,,,,Haao,,Selenof,Hpcal1,,,
,,C030006K11Rik,,,Suclg2,,,Srsf7,,,Itgad,,Snrpb2,Lefty1,,,,,,Hagh,,Selenoh,Hpgd,,,
,,C030044B11Rik,,,Sumo2,,,Ssb,,,Itgax,,Snrpd1,Leprot,,,,,,Haus8,,Selenos,Hps3,,,
,,C3,,,Svip,,,Ssr2,,,Itgb3,,Snrpf,Leprotl1,,,,,,Hdlbp,,Serbp1,Hpse,,,
,,C330006A16Rik,,,Taf9,,,Ssr4,,,Itpr2,,Snrpg,Lifr,,,,,,Hfe,,Serpinb1a,Ict1,,,
,,C330021F23Rik,,,Tagln2,,,Stmn1,,,Itpr3,,Sp100,Limd1,,,,,,Hiatl1,,Set,Id2,,,
,,C85492,,,Tceal8,,,Suclg1,,,Itsn1,,Spc24,Litaf,,,,,,Hip1,,Sf3b5,Idh1,,,
,,Cad,,,Thyn1,,,Sumo3,,,Jkamp,,Spi1,Lrp8,,,,,,Hlcs,,Sfxn1,Ier2,,,
,,Calcrl,,,Timm23,,,Swi5,,,Kbtbd11,,Srsf3,Ly6a,,,,,,Hmgcl,,Siva1,Ifi203,,,
,,Calm2,,,Timm8a1,,,Syce2,,,Kdelr1,,Srsf7,Ly6d,,,,,,Hnrpll,,Skp1a,Ifi204,,,
,,Camk1,,,Timm8b,,,Taf1d,,,Kdelr2,,Stmn1,Ly86,,,,,,Hopx,,Slc48a1,Ifi27l2a,,,
,,Camk2a,,,Timm9,,,Tcp1,,,Kdm1b,,Sumo3,Ly9,,,,,,Hp,,Smim4,Ifi30,,,
,,Caml,,,Tipin,,,Thoc7,,,Kdm6a,,Tceal9,Macf1,,,,,,Hps5,,Snrpd1,Ifi35,,,
,,Camp,,,Tm7sf3,,,Timm13,,,Kidins220,,Tgfbi,Magt1,,,,,,Hs6st1,,Snrpd2,Ifih1,,,
,,Camta1,,,Tmed10,,,Tmco1,,,Kif21b,,Tipin,Malat1,,,,,,Hsd17b11,,Snrpd3,Ifitm2,,,
,,Car2,,,Tmed3,,,Tmed9,,,Klf4,,Tk1,Man1a2,,,,,,Hsd17b4,,Snrpe,Ifitm3,,,
,,Car9,,,Tmem160,,,Tmem147,,,Klhdc5,,Tmem167,Man1c1,,,,,,Hsf2,,Snrpf,Ifnar2,,,
,,Carkd,,,Tmem176a,,,Tmem176b,,,Klhl9,,Tmem176b,Manf,,,,,,Htatip2,,Snrpg,Ifngr2,,,
,,Cars2,,,Tmem180,,,Tomm40,,,Kpnb1,,Tmpo,Mapkapk2,,,,,,I830077J02Rik,,Spcs1,Igsf6,,,
,,Casp4,,,Tmem205,,,Tomm5,,,L3mbtl3,,Tmsb10,Mctp2,,,,,,Ids,,Spcs2,Ikbkb,,,
,,Casp6,,,Tmem66,,,Tomm7,,,Larp1,,Top2a,Med10,,,,,,Ifi205,,Spn,Il10ra,,,
,,Casp7,,,Tmem93,,,Trappc6a,,,Lats2,,Tpm4,Mef2a,,,,,,Igsf8,,Srgn,Il13ra1,,,
,,Cbr1,,,Tmem97,,,Trmt112,,,Lbh,,Tpt1,Mef2c,,,,,,Il6st,,Srm,Il17ra,,,
,,Cbx5,,,Tomm20,,,Txnl1,,,Ldlr,,Tra2b,Mgat1,,,,,,Ilk,,Srp72,Il3ra,,,
,,Cby1,,,Tpi1,,,U2af1,,,Ldlrad3,,Trappc1,Minos1,,,,,,Inpp4a,,Srsf3,Il6ra,,,
,,Ccdc101,,,Trap1,,,Uchl5,,,Ldoc1l,,Tspo,Mll3,,,,,,Inpp5f,,Srsf7,Iqgap2,,,
,,Ccdc104,,,Trim27,,,Ufc1,,,Lpgat1,,Tuba1b,Mpnd,,,,,,Ipmk,,Ssr1,Irf5,,,
,,Ccdc107,,,Trp53,,,Uqcr10,,,Lpin2,,Tubb5,Mrfap1,,,,,,Ipo7,,Ssr2,Irf7,,,
,,Ccdc109a,,,Tsfm,,,Uqcr11,,,Lrba,,Uba52,Mrpl52,,,,,,Irak4,,Ssrp1,Irf9,,,
,,Ccdc125,,,Tspan32,,,Uqcrb,,,Lrch1,,Ubb,Mtap7d1,,,,,,Irf8,,Stk16,Irgm1,,,
,,Ccdc22,,,Tspan4,,,Xist,,,Lrp6,,Ube2a,Mycbp2,,,,,,Itch,,Suclg1,Itfg3,,,
,,Ccdc28b,,,Ttc3,,,Ywhae,,,Lrrc16a,,Ube2l3,Mycl1,,,,,,Itga1,,Sumo3,Itga4,,,
,,Ccdc34,,,Tuba4a,,,,,,Lrrk1,,Ucp2,Myo5a,,,,,,Itgal,,Svip,Itgb1,,,
,,Ccdc41,,,Txnl4a,,,,,,Lsm14b,,Uqcrc2,N4bp2l2,,,,,,Itgam,,Swi5,Itgb7,,,
,,Ccdc53,,,Ube2e1,,,,,,Ltn1,,Uqcrfs1,N4bp3,,,,,,Itgb2,,Syce2,Itm2b,,,
,,Ccdc56,,,Ubxn4,,,,,,Luc7l2,,Vdac3,Naga,,,,,,Itgb5,,Sypl,Itm2c,,,
,,Ccdc58,,,Uchl3,,,,,,Lynx1,,Vim,Nceh1,,,,,,Itpr1,,Tagln2,Jhdm1d,,,
