p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,
1.46E-98,1.240905366,0.958,0.392,5,Mmp2,,,,,,,,,
5.97E-43,1.225413793,0.381,0.052,5,Actg2,,,,,,,,,
9.55E-59,1.216156761,0.644,0.171,5,Cnn2,,,,,,,,,
2.03E-69,1.197939388,0.784,0.253,5,Dkk3,,,,,,,,,
5.04E-53,1.179186692,0.564,0.118,5,Col6a3,,,,,,,,,
3.99E-47,1.136654201,0.453,0.076,5,Gypc,,,,,,,,,
2.12E-46,1.130519442,0.36,0.044,5,3632451O06Rik,,,,,,,,,
3.48E-162,1.125009803,1,0.625,5,Col3a1,,,,,,,,,
3.37E-40,1.088726367,0.517,0.132,5,Prelp,,,,,,,,,
5.06E-53,1.08304729,0.737,0.278,5,Lhfp,,,,,,,,,
5.36E-49,1.067169619,0.695,0.227,5,Nupr1,,,,,,,,,
2.21E-51,1.061281308,0.475,0.084,5,Palld,,,,,,,,,
8.67E-39,1.044851313,0.398,0.071,5,Igsf10,,,,,,,,,
1.39E-46,1.024918117,0.674,0.218,5,Col5a2,,,,,,,,,
3.28E-34,1.018424863,0.352,0.059,5,Mdk,,,,,,,,,
1.62E-134,1.011574648,1,0.78,5,Sparc,,,,,,,,,
2.46E-32,1.006993348,0.297,0.054,5,Tnfrsf19,,,,,,,,,
5.16E-34,1.005294995,0.415,0.09,5,Pitx1,,,,,,,,,
1.05E-55,0.997890384,0.831,0.332,5,Htra1,,,,,,,,,
1.10E-48,0.991378512,0.271,0.011,5,Rerg,,,,,,,,,
4.75E-34,0.986623485,0.347,0.057,5,Nkain4,,,,,,,,,
4.88E-37,0.978958452,0.538,0.155,5,Tmem119,,,,,,,,,
1.45E-44,0.97046474,0.699,0.335,5,Tpm4,,,,,,,,,
2.82E-60,0.96674709,0.733,0.275,5,Csrp2,,,,,,,,,
2.52E-50,0.964539009,0.216,0.002,5,Prss35,,,,,,,,,
2.68E-33,0.96134137,0.542,0.173,5,Ctsk,,,,,,,,,
1.07E-42,0.959827114,0.708,0.259,5,Fn1,,,,,,,,,
3.31E-57,0.958433073,0.826,0.335,5,Pcolce,,,,,,,,,
7.84E-30,0.942565552,0.364,0.081,5,Col16a1,,,,,,,,,
1.44E-32,0.926810827,0.36,0.065,5,Vcan,,,,,,,,,
3.54E-36,0.922634165,0.602,0.231,5,Tgm2,,,,,,,,,
3.00E-43,0.919444353,0.746,0.29,5,Gadd45g,,,,,,,,,
3.34E-31,0.912056062,0.373,0.092,5,Fblim1,,,,,,,,,
4.31E-74,0.907756292,0.97,0.527,5,Serpinh1,,,,,,,,,
5.24E-70,0.903232089,0.979,0.726,5,Tmsb10,,,,,,,,,
9.51E-34,0.895580988,0.292,0.035,5,Srpx,,,,,,,,,
1.20E-36,0.894195856,0.335,0.106,5,Bmp7,,,,,,,,,
1.94E-58,0.881011265,0.886,0.41,5,Fstl1,,,,,,,,,
3.64E-26,0.878080248,0.318,0.064,5,C1qtnf7,,,,,,,,,
2.33E-35,0.874783469,0.225,0.013,5,Fam105a,,,,,,,,,
2.06E-45,0.873339078,0.784,0.364,5,Rcn3,,,,,,,,,
2.79E-31,0.872974354,0.432,0.112,5,Lhfpl2,,,,,,,,,
1.57E-31,0.86593884,0.534,0.175,5,Sdc2,,,,,,,,,
2.51E-45,0.863903799,0.517,0.142,5,Mylk,,,,,,,,,
5.81E-77,0.86253619,0.979,0.631,5,Lgals1,,,,,,,,,
6.29E-37,0.857964313,0.174,0.004,5,Srpx2,,,,,,,,,
3.01E-47,0.856267119,0.521,0.141,5,Csrp1,,,,,,,,,
4.39E-30,0.855006978,0.411,0.101,5,Emilin1,,,,,,,,,
5.39E-35,0.854408964,0.619,0.218,5,Plac8,,,,,,,,,
2.47E-27,0.848673265,0.352,0.08,5,Loxl2,,,,,,,,,
3.28E-44,0.8238843,0.419,0.081,5,Actn1,,,,,,,,,
5.71E-29,0.820452089,0.475,0.148,5,Olfml3,,,,,,,,,
1.09E-36,0.819082166,0.614,0.225,5,Cald1,,,,,,,,,
7.84E-30,0.814043603,0.237,0.024,5,Prex2,,,,,,,,,
2.06E-26,0.810535474,0.424,0.122,5,Col5a1,,,,,,,,,
6.01E-49,0.810460388,0.856,0.416,5,Tmem176b,,,,,,,,,
7.49E-40,0.80931127,0.78,0.358,5,Tuba1a,,,,,,,,,
1.01E-38,0.80808057,0.229,0.011,5,Itga11,,,,,,,,,
6.90E-33,0.803714399,0.174,0.009,5,Slc7a8,,,,,,,,,
3.74E-23,0.801566835,0.352,0.145,5,Tmem98,,,,,,,,,
1.96E-23,0.801028259,0.415,0.127,5,Chpf,,,,,,,,,
5.29E-43,0.795813276,0.809,0.367,5,Col6a2,,,,,,,,,
1.06E-31,0.792143564,0.686,0.293,5,Mxra8,,,,,,,,,
4.27E-42,0.791132398,0.835,0.394,5,Col6a1,,,,,,,,,
4.86E-28,0.789709081,0.394,0.114,5,Twsg1,,,,,,,,,
2.91E-23,0.782311425,0.39,0.116,5,Vcam1,,,,,,,,,
2.61E-31,0.78019929,0.547,0.182,5,Wnt2,,,,,,,,,
9.31E-28,0.771443576,0.517,0.246,5,Gstm2,,,,,,,,,
5.83E-36,0.769757554,0.742,0.342,5,Tmem176a,,,,,,,,,
1.51E-30,0.766400969,0.22,0.018,5,Thsd4,,,,,,,,,
1.33E-49,0.765266227,0.864,0.394,5,Nbl1,,,,,,,,,
1.90E-19,0.757459188,0.398,0.151,5,Parva,,,,,,,,,
1.45E-16,0.755350823,0.178,0.049,5,Nampt,,,,,,,,,
6.59E-22,0.748232179,0.174,0.016,5,Cck,,,,,,,,,
2.46E-21,0.743617424,0.453,0.169,5,Fkbp7,,,,,,,,,
4.58E-16,0.738078147,0.258,0.109,5,Ccndbp1,,,,,,,,,
2.25E-26,0.738002956,0.564,0.301,5,Cnn3,,,,,,,,,
3.20E-17,0.730572363,0.267,0.073,5,Creb3l1,,,,,,,,,
1.31E-24,0.728486056,0.297,0.065,5,Ptch1,,,,,,,,,
1.27E-24,0.727801249,0.153,0.008,5,Lrat,,,,,,,,,
1.57E-27,0.725870791,0.636,0.335,5,Calu,,,,,,,,,
4.39E-20,0.723666355,0.25,0.05,5,Cpz,,,,,,,,,
9.23E-19,0.723446616,0.254,0.061,5,Vcl,,,,,,,,,
1.40E-55,0.722083757,0.809,0.426,5,Tpm1,,,,,,,,,
1.49E-18,0.721840174,0.331,0.1,5,Cped1,,,,,,,,,
1.91E-34,0.7211799,0.856,0.575,5,Hspa1a,,,,,,,,,
2.90E-26,0.711210755,0.5,0.231,5,Maged1,,,,,,,,,
9.05E-23,0.709057456,0.246,0.042,5,Naalad2,,,,,,,,,
1.90E-18,0.702155219,0.331,0.112,5,Mpzl1,,,,,,,,,
7.40E-35,0.700965557,0.165,0.003,5,RP24-105I7.2,,,,,,,,,
1.66E-14,0.700427552,0.267,0.081,5,F3,,,,,,,,,
1.53E-23,0.698618712,0.216,0.029,5,Myh10,,,,,,,,,
6.67E-24,0.685342456,0.424,0.135,5,Mxra7,,,,,,,,,
1.09E-21,0.680142064,0.411,0.139,5,Lgals9,,,,,,,,,
3.80E-17,0.679458787,0.288,0.112,5,Hoxa10,,,,,,,,,
1.32E-35,0.678976142,0.877,0.617,5,Myl12a,,,,,,,,,
1.04E-62,0.673658149,0.936,0.5,5,Bgn,,,,,,,,,
2.91E-18,0.670731757,0.394,0.169,5,Anxa6,,,,,,,,,
2.34E-21,0.667124992,0.627,0.314,5,Mmp14,,,,,,,,,
1.02E-15,0.65945099,0.191,0.047,5,Ahr,,,,,,,,,
1.81E-13,0.656521222,0.513,0.324,5,Dnajb1,,,,,,,,,
1.56E-29,0.655383414,0.555,0.217,5,Fhl1,,,,,,,,,
3.96E-16,0.650820809,0.305,0.153,5,Pla2g7,,,,,,,,,
1.20E-16,0.64701652,0.254,0.068,5,Oaf,,,,,,,,,
2.98E-15,0.634768799,0.436,0.235,5,Wls,,,,,,,,,
1.17E-25,0.631956634,0.534,0.205,5,Bmp4,,,,,,,,,
5.40E-21,0.627007731,0.364,0.13,5,Gm2a,,,,,,,,,
2.77E-19,0.624975605,0.28,0.075,5,Pdgfd,,,,,,,,,
3.91E-16,0.62343096,0.373,0.143,5,Fzd1,,,,,,,,,
1.18E-13,0.622384119,0.364,0.158,5,Crtap,,,,,,,,,
2.45E-21,0.618545758,0.572,0.256,5,Selenom,,,,,,,,,
2.63E-12,0.61739476,0.369,0.181,5,Pdpn,,,,,,,,,
1.10E-20,0.616827761,0.513,0.244,5,Oat,,,,,,,,,
9.55E-20,0.61602495,0.288,0.078,5,Lox,,,,,,,,,
1.08E-31,0.615652134,0.428,0.127,5,AW112010,,,,,,,,,
5.21E-34,0.612688678,0.835,0.522,5,Anxa5,,,,,,,,,
7.23E-15,0.612424426,0.199,0.063,5,Rpa1,,,,,,,,,
2.49E-15,0.612367448,0.169,0.028,5,Spats2l,,,,,,,,,
1.00E-19,0.611882964,0.22,0.065,5,Hoxa11,,,,,,,,,
1.58E-20,0.608058718,0.585,0.284,5,Scpep1,,,,,,,,,
1.21E-15,0.604052623,0.415,0.171,5,Axl,,,,,,,,,
8.48E-17,0.602413048,0.271,0.117,5,Rasl11b,,,,,,,,,
6.37E-15,0.599803473,0.267,0.076,5,B3gnt9,,,,,,,,,
1.82E-17,0.595758372,0.479,0.263,5,Rcn1,,,,,,,,,
7.40E-20,0.594146467,0.22,0.039,5,Adam23,,,,,,,,,
4.01E-15,0.592088209,0.318,0.108,5,Tgfb1i1,,,,,,,,,
2.96E-13,0.58694698,0.301,0.104,5,Fkbp10,,,,,,,,,
1.65E-13,0.582794845,0.165,0.032,5,Prdm6,,,,,,,,,
1.42E-21,0.581934753,0.708,0.395,5,Rarres2,,,,,,,,,
6.33E-16,0.581022684,0.508,0.278,5,Itgb1,,,,,,,,,
2.22E-32,0.580493417,0.915,0.709,5,Cd63,,,,,,,,,
1.38E-17,0.578119986,0.487,0.298,5,Lmo4,,,,,,,,,
2.47E-23,0.576655434,0.636,0.298,5,Fbln5,,,,,,,,,
4.69E-12,0.57399723,0.216,0.077,5,Sec24d,,,,,,,,,
2.11E-13,0.573931625,0.424,0.205,5,Snhg18,,,,,,,,,
2.99E-17,0.573853446,0.25,0.061,5,Tfpi,,,,,,,,,
5.53E-14,0.57255288,0.305,0.12,5,Dtx3,,,,,,,,,
1.07E-12,0.571925805,0.195,0.05,5,Thbs1,,,,,,,,,
8.02E-19,0.570077476,0.411,0.195,5,Copz2,,,,,,,,,
2.48E-26,0.569388271,0.746,0.388,5,Aldh2,,,,,,,,,
9.86E-13,0.566567532,0.288,0.102,5,C1qtnf2,,,,,,,,,
1.84E-22,0.566512515,0.203,0.031,5,Pla1a,,,,,,,,,
5.11E-10,0.566233103,0.297,0.124,5,Il11ra1,,,,,,,,,
4.74E-15,0.565903997,0.178,0.042,5,Ptgs1,,,,,,,,,
1.53E-17,0.565679341,0.186,0.033,5,Nkd1,,,,,,,,,
5.78E-12,0.565318405,0.191,0.057,5,Fkbp14,,,,,,,,,
1.23E-15,0.561641494,0.203,0.041,5,F2r,,,,,,,,,
1.11E-16,0.561578956,0.462,0.286,5,Morf4l2,,,,,,,,,
6.02E-15,0.559598242,0.356,0.135,5,Mfap2,,,,,,,,,
2.25E-12,0.557122454,0.157,0.03,5,Adcy7,,,,,,,,,
6.40E-13,0.553044519,0.407,0.273,5,Tspan8,,,,,,,,,
3.02E-15,0.552702399,0.415,0.255,5,Tmem167,,,,,,,,,
2.01E-37,0.54705167,0.877,0.584,5,Ctsl,,,,,,,,,
9.53E-19,0.545919229,0.483,0.256,5,Lgals3bp,,,,,,,,,
6.14E-17,0.54564606,0.178,0.04,5,Ptprk,,,,,,,,,
4.15E-22,0.544655853,0.72,0.467,5,Dynll1,,,,,,,,,
1.30E-17,0.54435953,0.36,0.13,5,Kdelr3,,,,,,,,,
1.86E-17,0.544234689,0.453,0.218,5,Cpq,,,,,,,,,
2.40E-14,0.543612432,0.305,0.113,5,Fam114a1,,,,,,,,,
2.33E-14,0.543517133,0.271,0.09,5,Tcf4,,,,,,,,,
1.03E-24,0.542054515,0.61,0.27,5,Cd302,,,,,,,,,
8.11E-32,0.538033281,0.335,0.084,5,Cd200,,,,,,,,,
6.67E-13,0.537739539,0.199,0.051,5,Calcrl,,,,,,,,,
1.63E-21,0.53629579,0.263,0.068,5,Dab2,,,,,,,,,
3.66E-13,0.534485068,0.339,0.165,5,Sec31a,,,,,,,,,
1.63E-13,0.533654992,0.352,0.181,5,Cd63-ps,,,,,,,,,
5.35E-11,0.532030369,0.161,0.036,5,Foxf1,,,,,,,,,
1.22E-15,0.528250593,0.5,0.311,5,Cd164,,,,,,,,,
4.50E-12,0.528176216,0.186,0.06,5,Cgrrf1,,,,,,,,,
1.01E-10,0.526017842,0.314,0.141,5,Efemp2,,,,,,,,,
5.00E-16,0.525675872,0.331,0.129,5,Ppp1r14a,,,,,,,,,
5.09E-18,0.525348771,0.627,0.407,5,Ptms,,,,,,,,,
4.49E-10,0.52307055,0.25,0.09,5,Fstl3,,,,,,,,,
4.85E-15,0.521509858,0.267,0.088,5,Tmem158,,,,,,,,,
2.40E-11,0.521237441,0.174,0.042,5,Slc16a2,,,,,,,,,
8.72E-16,0.520929929,0.203,0.102,5,Nqo1,,,,,,,,,
3.01E-11,0.511859293,0.343,0.161,5,Pdlim2,,,,,,,,,
1.03E-10,0.508580475,0.178,0.049,5,Lrrc17,,,,,,,,,
7.68E-26,0.508507914,0.733,0.442,5,Egr1,,,,,,,,,
1.05E-09,0.508377752,0.195,0.097,5,Basp1,,,,,,,,,
6.69E-16,0.507786014,0.576,0.457,5,Itm2c,,,,,,,,,
2.18E-13,0.505461909,0.216,0.06,5,Pitx2,,,,,,,,,
2.71E-11,0.500199243,0.36,0.174,5,Adk,,,,,,,,,
2.87E-10,0.498724153,0.157,0.078,5,Sept4,,,,,,,,,
3.40E-23,0.49586151,0.826,0.649,5,Junb,,,,,,,,,
2.21E-08,0.495638226,0.242,0.102,5,Tmem140,,,,,,,,,
1.05E-09,0.49258404,0.331,0.149,5,Ehd2,,,,,,,,,
6.15E-15,0.491106493,0.517,0.349,5,Tceal9,,,,,,,,,
2.67E-09,0.490827092,0.191,0.084,5,Tbx3,,,,,,,,,
3.33E-14,0.49060339,0.169,0.074,5,Fam210b,,,,,,,,,
6.82E-11,0.488157387,0.225,0.111,5,Xpnpep1,,,,,,,,,
1.83E-11,0.48795765,0.483,0.341,5,Sec61g,,,,,,,,,
8.81E-12,0.487391434,0.267,0.145,5,Sigmar1,,,,,,,,,
5.73E-09,0.48722578,0.225,0.082,5,Arhgef25,,,,,,,,,
2.51E-11,0.48646842,0.326,0.18,5,Tceal8,,,,,,,,,
2.60E-09,0.485448199,0.386,0.204,5,Degs1,,,,,,,,,
3.94E-16,0.485199312,0.487,0.324,5,Mxd4,,,,,,,,,
9.30E-13,0.484732495,0.305,0.169,5,Slc3a2,,,,,,,,,
7.82E-12,0.480859719,0.199,0.056,5,C2,,,,,,,,,
1.96E-09,0.480496353,0.212,0.113,5,Aldh1a1,,,,,,,,,
2.98E-19,0.479941608,0.525,0.271,5,Plxdc2,,,,,,,,,
1.91E-69,0.479447445,0.453,0.078,5,Tagln,,,,,,,,,
3.15E-11,0.471507253,0.445,0.286,5,Ssr3,,,,,,,,,
7.94E-14,0.469529636,0.288,0.115,5,Atp2b1,,,,,,,,,
1.43E-20,0.469120463,0.347,0.149,5,Lgmn,,,,,,,,,
2.08E-14,0.468381403,0.678,0.537,5,Selenof,,,,,,,,,
3.06E-13,0.467518707,0.53,0.345,5,Prkar1a,,,,,,,,,
5.03E-09,0.464577258,0.225,0.08,5,Lama2,,,,,,,,,
2.01E-11,0.461047044,0.742,0.597,5,Jun,,,,,,,,,
4.72E-09,0.459333543,0.178,0.059,5,Abhd14a,,,,,,,,,
4.81E-09,0.456439024,0.195,0.079,5,Acadsb,,,,,,,,,
5.84E-12,0.453826144,0.441,0.219,5,Socs3,,,,,,,,,
8.74E-11,0.453495792,0.258,0.122,5,Yif1b,,,,,,,,,
2.97E-10,0.453397825,0.419,0.282,5,Arl1,,,,,,,,,
4.32E-11,0.452149068,0.271,0.161,5,Yipf5,,,,,,,,,
3.15E-11,0.451445945,0.576,0.444,5,Spcs1,,,,,,,,,
1.55E-08,0.448877741,0.373,0.238,5,Ilk,,,,,,,,,
1.65E-12,0.447814778,0.504,0.339,5,Map1lc3a,,,,,,,,,
1.61E-17,0.447123927,0.695,0.508,5,Arf4,,,,,,,,,
4.78E-17,0.4468262,0.657,0.445,5,Plpp3,,,,,,,,,
4.10E-14,0.446605977,0.157,0.03,5,Tslp,,,,,,,,,
3.23E-33,0.44599949,0.597,0.246,5,Efemp1,,,,,,,,,
1.94E-36,0.445655622,0.686,0.308,5,Crispld2,,,,,,,,,
1.19E-08,0.44548332,0.356,0.249,5,Ostc,,,,,,,,,
5.10E-13,0.444994794,0.458,0.278,5,Tsc22d1,,,,,,,,,
1.54E-12,0.441075003,0.288,0.134,5,Rab34,,,,,,,,,
3.69E-74,0.43779561,0.996,0.866,5,Igfbp7,,,,,,,,,
3.53E-21,0.436592595,0.708,0.383,5,C1s1,,,,,,,,,
1.48E-07,0.435186288,0.199,0.078,5,Lrrc32,,,,,,,,,
3.80E-09,0.434559178,0.191,0.11,5,Snap47,,,,,,,,,
1.96E-08,0.432544582,0.301,0.173,5,Ginm1,,,,,,,,,
1.47E-10,0.429949914,0.373,0.183,5,Rhoj,,,,,,,,,
4.36E-07,0.429508543,0.161,0.055,5,Nrep,,,,,,,,,
4.72E-11,0.428452197,0.254,0.096,5,Timp1,,,,,,,,,
9.58E-09,0.425962259,0.216,0.09,5,Fzd7,,,,,,,,,
1.01E-07,0.423699486,0.169,0.09,5,Gtf2e2,,,,,,,,,
7.91E-25,0.423324845,0.725,0.378,5,Tcf21,,,,,,,,,
7.05E-10,0.422948308,0.28,0.217,5,Lrp10,,,,,,,,,
2.23E-07,0.422833555,0.381,0.285,5,Ift20,,,,,,,,,
1.01E-07,0.42123539,0.186,0.065,5,Antxr1,,,,,,,,,
1.77E-07,0.420515447,0.165,0.059,5,Slc39a13,,,,,,,,,
1.53E-06,0.420101458,0.297,0.169,5,Pofut2,,,,,,,,,
2.04E-08,0.419477422,0.161,0.061,5,Gm13588,,,,,,,,,
5.31E-14,0.419033261,0.492,0.328,5,Aprt,,,,,,,,,
2.11E-13,0.418083918,0.648,0.433,5,Cd81,,,,,,,,,
9.75E-13,0.416748137,0.758,0.643,5,Gas5,,,,,,,,,
1.08E-11,0.416225717,0.258,0.129,5,Qsox1,,,,,,,,,
7.43E-13,0.414422595,0.369,0.202,5,Txndc5,,,,,,,,,
4.48E-15,0.413421,0.381,0.214,5,Oxct1,,,,,,,,,
4.25E-11,0.41299885,0.411,0.224,5,Mmp23,,,,,,,,,
7.27E-08,0.412532767,0.161,0.085,5,Bzw2,,,,,,,,,
1.20E-10,0.410965126,0.322,0.2,5,Tm2d2,,,,,,,,,
6.86E-11,0.41047631,0.161,0.045,5,Sft2d2,,,,,,,,,
8.00E-09,0.409997184,0.415,0.235,5,Ctsz,,,,,,,,,
3.64E-29,0.409672093,0.826,0.513,5,Ecm1,,,,,,,,,
9.78E-09,0.409112439,0.233,0.1,5,Cox6b2,,,,,,,,,
6.57E-08,0.408272141,0.165,0.064,5,Gm973,,,,,,,,,
2.44E-13,0.407061667,0.225,0.079,5,Tmem45a,,,,,,,,,
1.58E-10,0.406170522,0.314,0.198,5,Rcn2,,,,,,,,,
1.23E-08,0.404080921,0.203,0.104,5,Tiprl,,,,,,,,,
3.01E-09,0.403864344,0.246,0.135,5,Copg1,,,,,,,,,
3.00E-08,0.402960202,0.288,0.188,5,Bfar,,,,,,,,,
1.19E-07,0.402225949,0.165,0.087,5,Papss1,,,,,,,,,
1.36E-25,0.402214964,0.894,0.727,5,Myl6,,,,,,,,,
4.01E-08,0.401858756,0.398,0.275,5,Sept7,,,,,,,,,
8.03E-31,0.400018784,0.763,0.407,5,Cygb,,,,,,,,,
2.52E-96,1.413423497,0.911,0.439,6,Upk3a,,Epithelial cell_Upk3a high,,,,,,,
7.10E-82,1.350331942,0.857,0.45,6,Psca,,,,,,,,,
2.04E-59,1.213445439,0.848,0.419,6,Sprr2a3,,,,,,,,,
8.93E-61,1.14871481,0.799,0.383,6,Upk2,,,,,,,,,
1.76E-58,1.139071328,0.781,0.389,6,Upk1b,,,,,,,,,
1.27E-74,1.081227345,0.902,0.445,6,Sptssb,,,,,,,,,
8.45E-49,1.060678821,0.772,0.395,6,Krt8,,,,,,,,,
7.84E-52,1.058891633,0.754,0.367,6,Fmo5,,,,,,,,,
6.54E-110,1.045416478,0.996,0.576,6,Ly6d,,,,,,,,,
1.41E-45,1.027674466,0.683,0.343,6,Akr1b3,,,,,,,,,
2.02E-39,1.023765876,0.402,0.226,6,9530034E10Rik,,,,,,,,,
1.13E-92,1.018142426,0.982,0.646,6,Wfdc2,,,,,,,,,
7.50E-123,1.011200747,1,0.658,6,Gsta4,,,,,,,,,
8.76E-52,0.974712813,0.853,0.492,6,Fxyd3,,,,,,,,,
6.81E-56,0.973275264,0.821,0.507,6,Upk1a,,,,,,,,,
6.92E-47,0.963356625,0.71,0.433,6,Krt18,,,,,,,,,
2.36E-30,0.932823995,0.464,0.259,6,Gstm2-ps1,,,,,,,,,
2.97E-29,0.930006941,0.433,0.242,6,Fabp5,,,,,,,,,
5.04E-32,0.926350395,0.598,0.325,6,Mal,,,,,,,,,
3.37E-21,0.916031553,0.268,0.166,6,Fam25c,,,,,,,,,
3.49E-69,0.904473863,0.915,0.548,6,Krt7,,,,,,,,,
2.25E-29,0.904014622,0.397,0.232,6,Upk3b,,,,,,,,,
4.18E-33,0.876906763,0.362,0.232,6,Srd5a1,,,,,,,,,
8.04E-26,0.873721051,0.393,0.231,6,Uchl1,,,,,,,,,
3.07E-40,0.862974434,0.826,0.504,6,Krt19,,,,,,,,,
7.04E-30,0.850317686,0.625,0.4,6,2200002D01Rik,,,,,,,,,
8.78E-26,0.837430645,0.357,0.192,6,Snx31,,,,,,,,,
5.38E-64,0.833493735,0.969,0.654,6,Sprr1a,,,,,,,,,
2.46E-28,0.831233025,0.665,0.402,6,Mgst3,,,,,,,,,
3.29E-28,0.829165671,0.616,0.389,6,Ldhb,,,,,,,,,
1.48E-45,0.826819692,0.746,0.582,6,Uqcr10,,,,,,,,,
3.58E-33,0.826078746,0.304,0.2,6,Smim22,,,,,,,,,
6.63E-24,0.820663954,0.348,0.209,6,Plet1,,,,,,,,,
8.28E-27,0.817664626,0.415,0.277,6,Sgpl1,,,,,,,,,
1.53E-22,0.817107979,0.603,0.352,6,Aqp3,,,,,,,,,
1.86E-24,0.812465307,0.607,0.324,6,Ivl,,,,,,,,,
8.57E-22,0.795584154,0.478,0.293,6,Ociad2,,,,,,,,,
3.59E-25,0.79247494,0.54,0.352,6,Idh1,,,,,,,,,
3.58E-26,0.786037702,0.335,0.22,6,Cldn7,,,,,,,,,
2.50E-24,0.781681846,0.286,0.181,6,Cystm1,,,,,,,,,
1.17E-16,0.780589068,0.223,0.152,6,Apoc1,,,,,,,,,
2.23E-25,0.765970973,0.402,0.283,6,Ptgr1,,,,,,,,,
1.05E-21,0.764570443,0.214,0.123,6,Pdzk1ip1,,,,,,,,,
1.47E-41,0.757485867,0.884,0.553,6,Gsto1,,,,,,,,,
1.19E-20,0.753258044,0.509,0.311,6,Vsig2,,,,,,,,,
3.54E-25,0.751034657,0.411,0.277,6,Rab25,,,,,,,,,
5.18E-30,0.744873453,0.589,0.447,6,H2afj,,,,,,,,,
8.35E-20,0.738634977,0.576,0.362,6,Sfn,,,,,,,,,
3.71E-22,0.730673834,0.58,0.349,6,Spint2,,,,,,,,,
5.39E-24,0.721513464,0.304,0.219,6,Urah,,,,,,,,,
8.87E-31,0.713239871,0.491,0.391,6,Sf3b6,,,,,,,,,
3.54E-16,0.689589719,0.375,0.255,6,Tacstd2,,,,,,,,,
9.21E-23,0.689392927,0.263,0.187,6,Chchd10,,,,,,,,,
1.18E-12,0.686542481,0.286,0.182,6,Fabp4,,,,,,,,,
1.05E-18,0.684698594,0.232,0.138,6,Ugt2b34,,,,,,,,,
8.02E-24,0.675374616,0.304,0.23,6,Serinc2,,,,,,,,,
3.32E-34,0.666092574,0.705,0.592,6,Atox1,,,,,,,,,
4.05E-21,0.6651607,0.304,0.235,6,Gm16136,,,,,,,,,
1.94E-19,0.661534608,0.317,0.246,6,Akr1b8,,,,,,,,,
1.79E-28,0.651860531,0.571,0.486,6,Cops9,,,,,,,,,
1.10E-19,0.640614515,0.174,0.121,6,Prom2,,,,,,,,,
1.55E-18,0.63699973,0.487,0.375,6,Ctsh,,,,,,,,,
4.78E-19,0.628053611,0.268,0.191,6,Tmem45b,,,,,,,,,
1.20E-14,0.624803818,0.326,0.227,6,Gstm4,,,,,,,,,
2.56E-13,0.624427144,0.446,0.289,6,Ctse,,,,,,,,,
1.51E-14,0.62429027,0.335,0.267,6,Tmem64,,,,,,,,,
4.78E-23,0.622925864,0.491,0.401,6,Arpc1a,,,,,,,,,
5.93E-19,0.621074401,0.286,0.23,6,Hacd2,,,,,,,,,
1.05E-23,0.616526462,0.732,0.624,6,Cyb5a,,,,,,,,,
1.47E-17,0.602321416,0.263,0.203,6,Rab27b,,,,,,,,,
2.81E-16,0.598439462,0.397,0.306,6,Paqr5,,,,,,,,,
2.99E-26,0.590297847,0.652,0.565,6,Prdx5,,,,,,,,,
1.30E-23,0.584711857,0.424,0.369,6,Pgrmc1,,,,,,,,,
1.60E-18,0.58436524,0.246,0.186,6,Pllp,,,,,,,,,
6.38E-12,0.584175807,0.531,0.356,6,Perp,,,,,,,,,
1.73E-15,0.578565275,0.353,0.289,6,Ebpl,,,,,,,,,
3.49E-16,0.5677926,0.237,0.167,6,Wfdc15b,,,,,,,,,
4.83E-28,0.566166264,0.79,0.528,6,Krt15,,,,,,,,,
1.89E-10,0.559963004,0.433,0.307,6,Tmprss2,,,,,,,,,
2.76E-14,0.551824166,0.259,0.203,6,Tpd52,,,,,,,,,
5.11E-13,0.550274168,0.295,0.239,6,Tspan13,,,,,,,,,
2.35E-25,0.548292699,0.728,0.385,6,Igfbp2,,,,,,,,,
1.09E-13,0.54688888,0.42,0.337,6,Ndrg2,,,,,,,,,
8.58E-17,0.54027661,0.201,0.146,6,Trim29,,,,,,,,,
2.01E-10,0.511111313,0.491,0.351,6,8430408G22Rik,,,,,,,,,
1.51E-13,0.49536115,0.424,0.363,6,Tmem123,,,,,,,,,
5.41E-11,0.491374696,0.446,0.331,6,Acaa1b,,,,,,,,,
7.54E-21,0.473668279,0.795,0.703,6,Slc25a5,,,,,,,,,
8.68E-21,0.469586059,0.75,0.692,6,Cox8a,,,,,,,,,
1.30E-05,0.462389494,0.446,0.326,6,Cldn4,,,,,,,,,
8.83E-26,0.461490999,0.5,0.553,6,Ndufa3,,,,,,,,,
7.54E-08,0.457571626,0.406,0.333,6,Sdc1,,,,,,,,,
7.63E-07,0.440716235,0.478,0.338,6,Krt5,,,,,,,,,
1.45E-08,0.437586517,0.295,0.238,6,Lypd3,,,,,,,,,
7.74E-274,4.034406045,1,0.231,7,Acta2,,Smooth muscle cell,,,,,,,
8.52E-234,3.609217653,0.992,0.161,7,Myl9,,,,,,,,,
1.55E-169,3.123054629,0.924,0.07,7,Tagln,,,,,,,,,
1.66E-139,2.796884051,0.809,0.025,7,Myh11,,,,,,,,,
6.39E-89,2.67051001,0.641,0.034,7,Rasl11a,,,,,,,,,
8.61E-212,2.652742238,0.977,0.363,7,Tpm2,,,,,,,,,
1.79E-125,2.611508359,0.679,0.004,7,Pln,,,,,,,,,
